iter	Passed	Remaining
0	1	166
1	3	151
2	5	165
3	6	160
4	8	159
5	9	152
6	11	147
7	12	143
8	13	139
9	15	138
10	16	135
11	18	132
12	24	164
13	25	158
14	27	154
15	28	150
16	30	146
17	31	143
18	32	140
19	36	144
20	37	142
21	39	139
22	40	136
23	42	133
24	43	130
25	44	127
26	46	125
27	48	123
28	53	130
29	54	127
30	56	125
31	57	122
32	59	119
33	60	117
34	62	115
35	63	112
36	65	111
37	67	109
38	68	107
39	70	105
40	71	103
41	72	99
42	73	97
43	75	95
44	76	93
45	78	91
46	80	91
47	82	88
48	83	86
49	84	84
50	86	82
51	87	80
52	89	79
53	90	77
54	91	74
55	92	72
56	94	71
57	96	70
58	98	68
59	99	66
60	101	64
61	102	62
62	103	61
63	105	59
64	107	57
65	111	57
66	112	55
67	114	53
68	115	52
69	117	50
70	118	48
71	119	46
72	121	44
73	124	43
74	126	42
75	128	40
76	129	38
77	131	37
78	132	35
79	133	33
80	135	31
81	136	30
82	138	28
83	139	26
84	141	24
85	142	23
86	143	21
87	145	19
88	146	18
89	148	16
90	149	14
91	151	13
92	153	11
93	154	9
94	156	8
95	157	6
96	158	4
97	160	3
98	161	1
99	163	0
