iter	Passed	Remaining
0	147	147722
1	149	74532
2	150	50129
3	152	37920
4	153	30601
5	155	25793
6	160	22765
7	163	20223
8	165	18241
9	167	16559
10	168	15168
11	170	14015
12	171	13058
13	173	12224
14	179	11780
15	180	11130
16	182	10564
17	184	10052
18	185	9586
19	187	9164
20	188	8792
21	192	8555
22	194	8251
23	195	7960
24	197	7690
25	199	7458
26	200	7236
27	202	7022
28	203	6824
29	209	6764
30	210	6585
31	212	6417
32	213	6261
33	215	6111
34	216	5980
35	218	5845
36	222	5778
37	223	5669
38	225	5563
39	227	5468
40	229	5365
41	231	5270
42	232	5174
43	237	5153
44	238	5065
45	240	4979
46	241	4898
47	243	4823
48	244	4749
49	246	4675
50	247	4604
51	250	4572
52	252	4515
53	254	4454
54	255	4394
55	257	4335
56	258	4277
57	260	4222
58	261	4172
59	263	4120
60	267	4116
61	269	4081
62	271	4036
63	272	3989
64	274	3944
65	275	3899
66	276	3856
67	278	3816
68	281	3800
69	283	3763
70	284	3725
71	286	3690
72	288	3660
73	289	3625
74	291	3589
75	292	3556
76	297	3567
77	299	3536
78	300	3504
79	301	3472
80	303	3441
81	304	3412
82	305	3376
83	307	3348
84	308	3321
85	313	3327
86	314	3304
87	316	3280
88	317	3254
89	319	3229
90	320	3203
91	322	3179
92	326	3184
93	328	3163
94	331	3161
95	333	3143
96	335	3121
97	337	3102
98	340	3102
99	343	3089
100	344	3068
101	346	3046
102	347	3028
103	349	3008
104	350	2990
105	352	2973
106	357	2980
107	358	2962
108	360	2944
109	361	2925
110	362	2906
111	364	2889
112	365	2871
113	367	2854
114	371	2856
115	373	2844
116	374	2826
117	375	2809
118	377	2794
119	379	2781
120	380	2765
121	381	2747
122	386	2758
123	388	2743
124	390	2734
125	392	2724
126	394	2711
127	396	2703
128	400	2701
129	401	2689
130	403	2676
131	405	2664
132	406	2650
133	407	2636
134	409	2624
135	411	2611
136	412	2598
137	416	2602
138	420	2603
139	422	2594
140	423	2582
141	424	2567
142	426	2556
143	429	2555
144	431	2544
145	433	2533
146	434	2522
147	436	2510
148	437	2499
149	439	2488
150	441	2480
151	445	2487
152	447	2476
153	449	2466
